gameId,gameDate,hometeamCity,hometeamName,hometeamId,awayteamCity,awayteamName,awayteamId,homeScore,awayScore,winner,gameType,attendance,arenaId,gameLabel,gameSubLabel,seriesGameNumber
22401198,2025-04-13 15:30,Golden State,Warriors,1610612744,Los Angeles,Clippers,1610612746,119,124,1610612746,Regular Season,18064,1000011,,,0
22401199,2025-04-13 15:30,Portland,Trail Blazers,1610612757,Los Angeles,Lakers,1610612747,109,81,1610612757,Regular Season,19335,51,,,0
22401200,2025-04-13 15:30,Sacramento,Kings,1610612758,Phoenix,Suns,1610612756,109,98,1610612758,Regular Season,17832,609,,,0
22401186,2025-04-13 13:00,Atlanta,Hawks,1610612737,Orlando,Magic,1610612753,117,105,1610612737,Regular Season,17714,650,,,0
22401187,2025-04-13 13:00,Boston,Celtics,1610612738,Charlotte,Hornets,1610612766,93,86,1610612738,Regular Season,19156,17,,,0
22401188,2025-04-13 13:00,Brooklyn,Nets,1610612751,New York,Knicks,1610612752,105,113,1610612752,Regular Season,17926,461,,,0
22401189,2025-04-13 13:00,Cleveland,Cavaliers,1610612739,Indiana,Pacers,1610612754,118,126,1610612754,Regular Season,19432,1000144,,,0
22401190,2025-04-13 13:00,Miami,Heat,1610612748,Washington,Wizards,1610612764,118,119,1610612764,Regular Season,19968,1000100,,,0
22401191,2025-04-13 13:00,Philadelphia,76ers,1610612755,Chicago,Bulls,1610612741,102,122,1610612741,Regular Season,20059,419,,,0
22401192,2025-04-13 13:00,Milwaukee,Bucks,1610612749,Detroit,Pistons,1610612765,140,133,1610612749,Regular Season,17796,642,,,0
22401185,2025-04-11 22:30,Los Angeles,Lakers,1610612747,Houston,Rockets,1610612745,140,109,1610612747,Regular Season,18997,1000069,,,0
22401182,2025-04-11 22:00,Phoenix,Suns,1610612756,San Antonio,Spurs,1610612759,117,98,1610612756,Regular Season,17071,1000145,,,0
22401183,2025-04-11 22:00,Portland,Trail Blazers,1610612757,Golden State,Warriors,1610612744,86,103,1610612744,Regular Season,19335,51,,,0
22401184,2025-04-11 22:00,Sacramento,Kings,1610612758,Los Angeles,Clippers,1610612746,100,101,1610612746,Regular Season,16435,609,,,0
22401181,2025-04-11 21:30,Utah,Jazz,1610612762,Oklahoma City,Thunder,1610612760,111,145,1610612760,Regular Season,18175,1000106,,,0
22401179,2025-04-11 21:00,Minnesota,Timberwolves,1610612750,Brooklyn,Nets,1610612751,117,91,1610612750,Regular Season,18978,61,,,0
